0,1,2,3,4,5,6,7,8,9,10,11,12
"('id', 15907477)","('date', '2024-10-27')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 128.0)","('visitor_team_score', 104.0)","('home_team', NBATeam(id=21, conference='West', division='Northwest', city='Oklahoma City', name='Thunder', full_name='Oklahoma City Thunder', abbreviation='OKC'))","('home_team_id', None)","('visitor_team', NBATeam(id=1, conference='East', division='Southeast', city='Atlanta', name='Hawks', full_name='Atlanta Hawks', abbreviation='ATL'))","('visitor_team_id', None)"
"('id', 15907478)","('date', '2024-10-27')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 104.0)","('visitor_team_score', 112.0)","('home_team', NBATeam(id=10, conference='West', division='Pacific', city='Golden State', name='Warriors', full_name='Golden State Warriors', abbreviation='GSW'))","('home_team_id', None)","('visitor_team', NBATeam(id=13, conference='West', division='Pacific', city='LA', name='Clippers', full_name='LA Clippers', abbreviation='LAC'))","('visitor_team_id', None)"
"('id', 15907479)","('date', '2024-10-28')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 119.0)","('visitor_team_score', 115.0)","('home_team', NBATeam(id=22, conference='East', division='Southeast', city='Orlando', name='Magic', full_name='Orlando Magic', abbreviation='ORL'))","('home_team_id', None)","('visitor_team', NBATeam(id=12, conference='East', division='Central', city='Indiana', name='Pacers', full_name='Indiana Pacers', abbreviation='IND'))","('visitor_team_id', None)"
"('id', 15907480)","('date', '2024-10-28')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 119.0)","('visitor_team_score', 121.0)","('home_team', NBATeam(id=1, conference='East', division='Southeast', city='Atlanta', name='Hawks', full_name='Atlanta Hawks', abbreviation='ATL'))","('home_team_id', None)","('visitor_team', NBATeam(id=30, conference='East', division='Southeast', city='Washington', name='Wizards', full_name='Washington Wizards', abbreviation='WAS'))","('visitor_team_id', None)"
"('id', 15907481)","('date', '2024-10-28')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 119.0)","('visitor_team_score', 108.0)","('home_team', NBATeam(id=2, conference='East', division='Atlantic', city='Boston', name='Celtics', full_name='Boston Celtics', abbreviation='BOS'))","('home_team_id', None)","('visitor_team', NBATeam(id=17, conference='East', division='Central', city='Milwaukee', name='Bucks', full_name='Milwaukee Bucks', abbreviation='MIL'))","('visitor_team_id', None)"
"('id', 15907484)","('date', '2024-10-28')","('season', 2024)","('status', 'Final')","('period', 5.0)","('time', 'Final')","('postseason', False)","('home_team_score', 125.0)","('visitor_team_score', 127.0)","('home_team', NBATeam(id=28, conference='East', division='Atlantic', city='Toronto', name='Raptors', full_name='Toronto Raptors', abbreviation='TOR'))","('home_team_id', None)","('visitor_team', NBATeam(id=8, conference='West', division='Northwest', city='Denver', name='Nuggets', full_name='Denver Nuggets', abbreviation='DEN'))","('visitor_team_id', None)"
"('id', 15907483)","('date', '2024-10-28')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 104.0)","('visitor_team_score', 110.0)","('home_team', NBATeam(id=20, conference='East', division='Atlantic', city='New York', name='Knicks', full_name='New York Knicks', abbreviation='NYK'))","('home_team_id', None)","('visitor_team', NBATeam(id=6, conference='East', division='Central', city='Cleveland', name='Cavaliers', full_name='Cleveland Cavaliers', abbreviation='CLE'))","('visitor_team_id', None)"
"('id', 15907485)","('date', '2024-10-28')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 123.0)","('visitor_team_score', 126.0)","('home_team', NBATeam(id=15, conference='West', division='Southwest', city='Memphis', name='Grizzlies', full_name='Memphis Grizzlies', abbreviation='MEM'))","('home_team_id', None)","('visitor_team', NBATeam(id=5, conference='East', division='Central', city='Chicago', name='Bulls', full_name='Chicago Bulls', abbreviation='CHI'))","('visitor_team_id', None)"
"('id', 15907486)","('date', '2024-10-28')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 101.0)","('visitor_team_score', 106.0)","('home_team', NBATeam(id=27, conference='West', division='Southwest', city='San Antonio', name='Spurs', full_name='San Antonio Spurs', abbreviation='SAS'))","('home_team_id', None)","('visitor_team', NBATeam(id=11, conference='West', division='Southwest', city='Houston', name='Rockets', full_name='Houston Rockets', abbreviation='HOU'))","('visitor_team_id', None)"
"('id', 15907487)","('date', '2024-10-28')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 110.0)","('visitor_team_score', 102.0)","('home_team', NBATeam(id=7, conference='West', division='Southwest', city='Dallas', name='Mavericks', full_name='Dallas Mavericks', abbreviation='DAL'))","('home_team_id', None)","('visitor_team', NBATeam(id=29, conference='West', division='Northwest', city='Utah', name='Jazz', full_name='Utah Jazz', abbreviation='UTA'))","('visitor_team_id', None)"
